Packet Sent:#49#Round Trip Time#315975#Encryption Time Sender#84#Encryption Time Sender#126#49632#49632#49632#Message:#103.6#   210#
Packet Sent:#50#Round Trip Time#296245#Encryption Time Sender#72#Encryption Time Sender#126#49632#49632#49632#Message:#101.3#   210#
Packet Sent:#51#Round Trip Time#304922#Encryption Time Sender#81#Encryption Time Sender#126#49632#49632#49632#Message:#102.9#   210#
Packet Sent:#52#Round Trip Time#297274#Encryption Time Sender#72#Encryption Time Sender#126#49632#49632#49632#Message:#100.9#   210#
Packet Sent:#53#Round Trip Time#305980#Encryption Time Sender#72#Encryption Time Sender#126#49632#49632#49632#Message:#101.2#   210#
Packet Sent:#54#Round Trip Time#300355#Encryption Time Sender#84#Encryption Time Sender#126#49632#49632#49632#Message:#101.7#   210#
Packet Sent:#55#Round Trip Time#301409#Encryption Time Sender#72#Encryption Time Sender#126#49632#49632#49632#Message:#100.2#   209#
Packet Sent:#56#Round Trip Time#301504#Encryption Time Sender#72#Encryption Time Sender#126#49632#49632#49632#Message:#100.4#   209#
Packet Sent:#57#Round Trip Time#302766#Encryption Time Sender#73#Encryption Time Sender#126#49632#49632#49632#Message:#101.6#   210#
Packet Sent:#58#Round Trip Time#302767#Encryption Time Sender#73#Encryption Time Sender#126#49632#49632#49632#Message:#100.5#   210#
Packet Sent:#59#Round Trip Time#306124#Encryption Time Sender#84#Encryption Time Sender#126#49632#49520#49520#Message:#101.5#   209#
Packet Sent:#60#Round Trip Time#301054#Encryption Time Sender#73#Encryption Time Sender#126#49520#49632#49632#Message:#103.2#   209#
Packet Sent:#61#Round Trip Time#304415#Encryption Time Sender#72#Encryption Time Sender#126#49632#49632#49632#Message:#101.5#   210#
Packet Sent:#62#Round Trip Time#310802#Encryption Time Sender#72#Encryption Time Sender#126#49632#49632#49632#Message:#101.6#   209#
Packet Sent:#63#Round Trip Time#303529#Encryption Time Sender#72#Encryption Time Sender#126#49632#49632#49632#Message:#104.2#   210#
Packet Sent:#64#Round Trip Time#301128#Encryption Time Sender#85#Encryption Time Sender#126#49632#49632#49632#Message:#103.9#   209#
Packet Sent:#65#Round Trip Time#305488#Encryption Time Sender#73#Encryption Time Sender#126#49632#49632#49632#Message:#102.1#   210#
Packet Sent:#66#Round Trip Time#300873#Encryption Time Sender#72#Encryption Time Sender#126#49632#49632#49632#Message:#101.4#   209#
Packet Sent:#67#Round Trip Time#304377#Encryption Time Sender#72#Encryption Time Sender#126#49632#49632#49632#Message:#101.9#   210#
Packet Sent:#68#Round Trip Time#304859#Encryption Time Sender#80#Encryption Time Sender#126#49632#49632#49632#Message:#102.0#   210#
Packet Sent:#69#Round Trip Time#305783#Encryption Time Sender#85#Encryption Time Sender#126#49632#49632#49632#Message:#102.0#   209#
