/⸮Y⸮⸮⸮⸮⸮/VU⸮L⸮⸮⸮-⸮P]D⸮}⸮;⸮⸮\f⸮⸮!o	⸮⸮⸮q⸮"⸮$⸮⸮~h9:}⸮⸮⸮@B⸮p⸮f/f⸮⸮m⸮⸮X⸮@e⸮d⸮N5⸮}⸮)⸮'K⸮⸮h
This is a long sentence that is encrypted and then transmitted using the MQTT protocol for test.

Packet Sent:#1#Round Trip Time#411983#Encryption Time Sender#561#Encryption Time Sender#292#49832#49832#49832#Tag#True#Message:#78.74#   576#
Packet Sent:#2#Round Trip Time#315043#Encryption Time Sender#323#Encryption Time Sender#246#49832#49832#49832#Tag#True#Message:#78.20#   504#
Packet Sent:#3#Round Trip Time#389932#Encryption Time Sender#319#Encryption Time Sender#217#49832#49832#49832#Tag#True#Message:#78.00#   484#
Packet Sent:#4#Round Trip Time#390883#Encryption Time Sender#319#Encryption Time Sender#241#49832#49832#49832#Tag#True#Message:#78.71#   489#
Packet Sent:#5#Round Trip Time#391544#Encryption Time Sender#319#Encryption Time Sender#221#49832#49832#49832#Tag#True#Message:#78.43#   508#
Packet Sent:#6#Round Trip Time#389332#Encryption Time Sender#319#Encryption Time Sender#241#49832#49832#49832#Tag#True#Message:#78.02#   503#
Packet Sent:#7#Round Trip Time#391053#Encryption Time Sender#319#Encryption Time Sender#220#49832#49832#49832#Tag#True#Message:#77.85#   485#
Packet Sent:#8#Round Trip Time#391875#Encryption Time Sender#320#Encryption Time Sender#240#49832#49832#49832#Tag#True#Message:#78.29#   497#
Packet Sent:#9#Round Trip Time#402500#Encryption Time Sender#319#Encryption Time Sender#220#49832#49832#49832#Tag#True#Message:#78.48#   511#
Packet Sent:#10#Round Trip Time#389033#Encryption Time Sender#315#Encryption Time Sender#239#49832#49832#49832#Tag#True#Message:#78.77#   504#
Packet Sent:#11#Round Trip Time#377576#Encryption Time Sender#319#Encryption Time Sender#221#49832#49832#49832#Tag#True#Message:#78.58#   485#
Packet Sent:#12#Round Trip Time#395192#Encryption Time Sender#320#Encryption Time Sender#280#49832#49328#49328#Tag#True#Message:#78.47#   489#
Packet Sent:#13#Round Trip Time#486052#Encryption Time Sender#319#Encryption Time Sender#277#49328#49328#49328#Tag#True#Message:#78.46#   515#
Packet Sent:#14#Round Trip Time#393042#Encryption Time Sender#327#Encryption Time Sender#288#49328#49216#49216#Tag#True#Message:#78.52#   540#
Packet Sent:#15#Round Trip Time#289346#Encryption Time Sender#340#Encryption Time Sender#253#49216#49328#49328#Tag#True#Message:#78.42#   473#
Packet Sent:#16#Round Trip Time#392649#Encryption Time Sender#327#Encryption Time Sender#285#49328#49328#49328#Tag#True#Message:#78.52#   492#
Packet Sent:#17#Round Trip Time#392628#Encryption Time Sender#366#Encryption Time Sender#252#49216#49328#49328#Tag#True#Message:#78.41#   571#
Packet Sent:#18#Round Trip Time#392930#Encryption Time Sender#328#Encryption Time Sender#283#49328#49328#49328#Tag#True#Message:#78.73#   576#
Packet Sent:#19#Round Trip Time#392085#Encryption Time Sender#339#Encryption Time Sender#256#49328#49328#49328#Tag#True#Message:#78.54#   572#
Packet Sent:#20#Round Trip Time#382053#Encryption Time Sender#327#Encryption Time Sender#277#49328#49328#49328#Tag#True#Message:#79.75#   571#
Packet Sent:#21#Round Trip Time#389000#Encryption Time Sender#342#Encryption Time Sender#245#49328#49328#49328#Tag#True#Message:#78.54#   571#
Packet Sent:#22#Round Trip Time#392414#Encryption Time Sender#406#Encryption Time Sender#245#49216#49328#49328#Tag#True#Message:#78.60#   571#
Packet Sent:#23#Round Trip Time#391441#Encryption Time Sender#331#Encryption Time Sender#268#49328#49328#49328#Tag#True#Message:#78.76#   576#
Packet Sent:#24#Round Trip Time#393933#Encryption Time Sender#335#Encryption Time Sender#245#49328#49328#49328#Tag#True#Message:#78.37#   571#
Packet Sent:#25#Round Trip Time#384761#Encryption Time Sender#330#Encryption Time Sender#272#49328#49328#49328#Tag#True#Message:#78.13#   571#
Packet Sent:#26#Round Trip Time#393339#Encryption Time Sender#317#Encryption Time Sender#248#49328#49328#49328#Tag#True#Message:#78.02#   571#
Packet Sent:#27#Round Trip Time#386412#Encryption Time Sender#320#Encryption Time Sender#276#49328#49328#49328#Tag#True#Message:#78.16#   576#
Packet Sent:#28#Round Trip Time#393888#Encryption Time Sender#314#Encryption Time Sender#284#49328#49216#49216#Tag#True#Message:#78.27#   570#
Packet Sent:#29#Round Trip Time#387534#Encryption Time Sender#319#Encryption Time Sender#241#49216#49328#49328#Tag#True#Message:#78.22#   571#
Packet Sent:#30#Round Trip Time#391666#Encryption Time Sender#315#Encryption Time Sender#280#49328#49328#49328#Tag#True#Message:#78.72#   571#
Packet Sent:#31#Round Trip Time#389341#Encryption Time Sender#316#Encryption Time Sender#244#49328#49328#49328#Tag#True#Message:#78.28#   572#
Packet Sent:#32#Round Trip Time#392454#Encryption Time Sender#320#Encryption Time Sender#280#49328#49328#49328#Tag#True#Message:#78.54#   576#
Packet Sent:#33#Round Trip Time#392301#Encryption Time Sender#318#Encryption Time Sender#245#49328#49328#49328#Tag#True#Message:#78.33#   571#
Packet Sent:#34#Round Trip Time#387203#Encryption Time Sender#320#Encryption Time Sender#281#49328#49328#49328#Tag#True#Message:#78.29#   571#
Packet Sent:#35#Round Trip Time#391046#Encryption Time Sender#314#Encryption Time Sender#244#49328#49328#49328#Tag#True#Message:#78.64#   570#
Packet Sent:#36#Round Trip Time#388511#Encryption Time Sender#320#Encryption Time Sender#280#49328#49328#49328#Tag#True#Message:#78.07#   576#
