Packet Sent:#49#Round Trip Time#169115#Encryption Time Sender#145#Encryption Time Sender#247#49624#49624#49624#Message:#11.16#   265#
Packet Sent:#50#Round Trip Time#164058#Encryption Time Sender#142#Encryption Time Sender#220#49624#49624#49624#Message:#11.14#   283#
Packet Sent:#51#Round Trip Time#166244#Encryption Time Sender#146#Encryption Time Sender#244#49624#49624#49624#Message:#11.13#   284#
Packet Sent:#52#Round Trip Time#166834#Encryption Time Sender#145#Encryption Time Sender#225#49624#49624#49624#Message:#11.15#   259#
Packet Sent:#53#Round Trip Time#166741#Encryption Time Sender#144#Encryption Time Sender#244#49624#49624#49624#Message:#11.16#   284#
Packet Sent:#54#Round Trip Time#167839#Encryption Time Sender#143#Encryption Time Sender#224#49624#49624#49624#Message:#11.39#   283#
Packet Sent:#55#Round Trip Time#166697#Encryption Time Sender#145#Encryption Time Sender#248#49624#49624#49624#Message:#11.23#   252#
Packet Sent:#56#Round Trip Time#166698#Encryption Time Sender#142#Encryption Time Sender#223#49624#49624#49624#Message:#11.14#   284#
Packet Sent:#57#Round Trip Time#167410#Encryption Time Sender#145#Encryption Time Sender#242#49624#49512#49512#Message:#11.25#   283#
Packet Sent:#58#Round Trip Time#166333#Encryption Time Sender#147#Encryption Time Sender#227#49512#49624#49624#Message:#11.31#   260#
Packet Sent:#59#Round Trip Time#166330#Encryption Time Sender#144#Encryption Time Sender#244#49624#49624#49624#Message:#11.18#   283#
Packet Sent:#60#Round Trip Time#166123#Encryption Time Sender#143#Encryption Time Sender#223#49624#49624#49624#Message:#11.20#   284#
Packet Sent:#61#Round Trip Time#169205#Encryption Time Sender#144#Encryption Time Sender#248#49624#49624#49624#Message:#11.18#   259#
Packet Sent:#62#Round Trip Time#163699#Encryption Time Sender#141#Encryption Time Sender#224#49624#49624#49624#Message:#11.07#   283#
Packet Sent:#63#Round Trip Time#171316#Encryption Time Sender#145#Encryption Time Sender#247#49624#49624#49624#Message:#11.14#   271#
Packet Sent:#64#Round Trip Time#161278#Encryption Time Sender#146#Encryption Time Sender#224#49624#49624#49624#Message:#11.16#   276#
Packet Sent:#65#Round Trip Time#167936#Encryption Time Sender#143#Encryption Time Sender#243#49624#49624#49624#Message:#11.20#   279#
Packet Sent:#66#Round Trip Time#167561#Encryption Time Sender#142#Encryption Time Sender#226#49624#49624#49624#Message:#11.22#   264#
Packet Sent:#67#Round Trip Time#166098#Encryption Time Sender#144#Encryption Time Sender#244#49624#49624#49624#Message:#11.26#   284#
Packet Sent:#68#Round Trip Time#166417#Encryption Time Sender#141#Encryption Time Sender#223#49624#49624#49624#Message:#11.20#   280#
Packet Sent:#69#Round Trip Time#171050#Encryption Time Sender#148#Encryption Time Sender#248#49624#49624#49624#Message:#11.16#   251#
Packet Sent:#70#Round Trip Time#162002#Encryption Time Sender#143#Encryption Time Sender#223#49624#49624#49624#Message:#11.13#   284#
Packet Sent:#71#Round Trip Time#166499#Encryption Time Sender#145#Encryption Time Sender#243#49624#49512#49512#Message:#11.10#   284#
Packet Sent:#72#Round Trip Time#167177#Encryption Time Sender#141#Encryption Time Sender#228#49512#49624#49624#Message:#11.15#   252#
Packet Sent:#73#Round Trip Time#166027#Encryption Time Sender#145#Encryption Time Sender#243#49624#49624#49624#Message:#11.13#   284#
Packet Sent:#74#Round Trip Time#166280#Encryption Time Sender#142#Encryption Time Sender#223#49624#49624#49624#Message:#11.18#   279#
Packet Sent:#75#Round Trip Time#167229#Encryption Time Sender#148#Encryption Time Sender#247#49624#49624#49624#Message:#11.18#   255#
Packet Sent:#76#Round Trip Time#170421#Encryption Time Sender#142#Encryption Time Sender#223#49624#49624#49624#Message:#11.05#   284#
Packet Sent:#77#Round Trip Time#162484#Encryption Time Sender#144#Encryption Time Sender#242#49624#49624#49624#Message:#11.18#   282#
Packet Sent:#78#Round Trip Time#166328#Encryption Time Sender#142#Encryption Time Sender#226#49624#49624#49624#Message:#11.12#   259#
Packet Sent:#79#Round Trip Time#167187#Encryption Time Sender#145#Encryption Time Sender#242#49624#49624#49624#Message:#11.12#   284#
Packet Sent:#80#Round Trip Time#167793#Encryption Time Sender#141#Encryption Time Sender#224#49624#49624#49624#Message:#11.08#   284#
Packet Sent:#81#Round Trip Time#165879#Encryption Time Sender#148#Encryption Time Sender#246#49624#49624#49624#Message:#11.20#   284#
Packet Sent:#82#Round Trip Time#165374#Encryption Time Sender#141#Encryption Time Sender#224#49624#49624#49624#Message:#11.15#   275#
Packet Sent:#83#Round Trip Time#166466#Encryption Time Sender#144#Encryption Time Sender#243#49624#49624#49624#Message:#11.09#   283#
Packet Sent:#84#Round Trip Time#166785#Encryption Time Sender#140#Encryption Time Sender#227#49624#49624#49624#Message:#11.18#   262#
Packet Sent:#85#Round Trip Time#168333#Encryption Time Sender#143#Encryption Time Sender#243#49624#49512#49512#Message:#11.18#   290#
Packet Sent:#86#Round Trip Time#164570#Encryption Time Sender#142#Encryption Time Sender#227#49512#49624#49624#Message:#11.10#   284#
Packet Sent:#87#Round Trip Time#166345#Encryption Time Sender#148#Encryption Time Sender#244#49624#49624#49624#Message:#11.07#   264#
Packet Sent:#88#Round Trip Time#166673#Encryption Time Sender#142#Encryption Time Sender#223#49624#49624#49624#Message:#11.10#   284#
Packet Sent:#89#Round Trip Time#165889#Encryption Time Sender#145#Encryption Time Sender#247#49624#49624#49624#Message:#11.07#   275#
Packet Sent:#90#Round Trip Time#166155#Encryption Time Sender#141#Encryption Time Sender#223#49624#49624#49624#Message:#11.10#   283#
Packet Sent:#91#Round Trip Time#169477#Encryption Time Sender#143#Encryption Time Sender#244#49624#49624#49624#Message:#11.14#   259#
Packet Sent:#92#Round Trip Time#184482#Encryption Time Sender#146#Encryption Time Sender#228#49624#49624#49624#Message:#11.12#   283#
Packet Sent:#93#Round Trip Time#149774#Encryption Time Sender#144#Encryption Time Sender#243#49624#49624#49624#Message:#11.12#   283#
Packet Sent:#94#Round Trip Time#165218#Encryption Time Sender#141#Encryption Time Sender#223#49624#49624#49624#Message:#11.22#   283#
Packet Sent:#95#Round Trip Time#165313#Encryption Time Sender#145#Encryption Time Sender#248#49624#49624#49624#Message:#11.16#   276#
Packet Sent:#96#Round Trip Time#166569#Encryption Time Sender#142#Encryption Time Sender#224#49624#49624#49624#Message:#11.20#   297#
Packet Sent:#97#Round Trip Time#166305#Encryption Time Sender#144#Encryption Time Sender#244#49624#49624#49624#Message:#11.15#   256#
Packet Sent:#98#Round Trip Time#166696#Encryption Time Sender#147#Encryption Time Sender#228#49624#49624#49624#Message:#11.06#   284#
Packet Sent:#99#Round Trip Time#166853#Encryption Time Sender#145#Encryption Time Sender#244#49624#49512#49512#Message:#11.07#   263#
Packet Sent:#100#Round Trip Time#165464#Encryption Time Sender#142#Encryption Time Sender#224#49512#49624#49624#Message:#11.07#   284#
Packet Sent:#101#Round Trip Time#165846#Encryption Time Sender#145#Encryption Time Sender#247#49624#49624#49624#Message:#11.07#   284#
Packet Sent:#102#Round Trip Time#165963#Encryption Time Sender#141#Encryption Time Sender#223#49624#49624#49624#Message:#11.06#   283#
Packet Sent:#103#Round Trip Time#167208#Encryption Time Sender#158#Encryption Time Sender#243#49624#49624#49624#Message:#11.10#   271#
Packet Sent:#104#Round Trip Time#170462#Encryption Time Sender#145#Encryption Time Sender#227#49624#49624#49624#Message:#11.24#   283#
Packet Sent:#105#Round Trip Time#161401#Encryption Time Sender#144#Encryption Time Sender#243#49624#49624#49624#Message:#11.04#   282#
Packet Sent:#106#Round Trip Time#162184#Encryption Time Sender#143#Encryption Time Sender#224#49624#49624#49624#Message:#11.00#   269#
Packet Sent:#107#Round Trip Time#168233#Encryption Time Sender#145#Encryption Time Sender#247#49624#49624#49624#Message:#11.05#   283#
Packet Sent:#108#Round Trip Time#162928#Encryption Time Sender#142#Encryption Time Sender#224#49624#49624#49624#Message:#11.05#   284#
Packet Sent:#109#Round Trip Time#165806#Encryption Time Sender#145#Encryption Time Sender#248#49624#49624#49624#Message:#11.12#   259#
Packet Sent:#110#Round Trip Time#165485#Encryption Time Sender#146#Encryption Time Sender#223#49624#49624#49624#Message:#11.07#   284#
Packet Sent:#111#Round Trip Time#166908#Encryption Time Sender#144#Encryption Time Sender#243#49624#49624#49624#Message:#11.06#   284#
Packet Sent:#112#Round Trip Time#164603#Encryption Time Sender#142#Encryption Time Sender#227#49624#49624#49624#Message:#11.07#   263#
Packet Sent:#113#Round Trip Time#164898#Encryption Time Sender#144#Encryption Time Sender#243#49624#49512#49512#Message:#11.10#   283#
Packet Sent:#114#Round Trip Time#163400#Encryption Time Sender#141#Encryption Time Sender#224#49512#49624#49624#Message:#11.14#   284#
Packet Sent:#115#Round Trip Time#165346#Encryption Time Sender#149#Encryption Time Sender#260#49624#49624#49624#Message:#11.06#   260#
Packet Sent:#116#Round Trip Time#167990#Encryption Time Sender#142#Encryption Time Sender#223#49624#49624#49624#Message:#11.07#   283#
Packet Sent:#117#Round Trip Time#199578#Encryption Time Sender#145#Encryption Time Sender#243#49624#49624#49624#Message:#11.09#   284#
Packet Sent:#118#Round Trip Time#130224#Encryption Time Sender#140#Encryption Time Sender#228#49624#49624#49624#Message:#11.29#   254#
Packet Sent:#119#Round Trip Time#162596#Encryption Time Sender#143#Encryption Time Sender#244#49624#49624#49624#Message:#11.34#   283#
