⸮=⸮*⸮!4⸮{3⸮R20ן⸮@d⸮K⸮⸮)⸮⸮&⸮⸮GX⸮⸮/|⸮⸮⸮⸮;l2OY>u⸮X⸮;⸮'/Q⸮⸮⸮}+t݁{a⸮⸮ά⸮@⸮y(ұ3w⸮*⸮⸮⸮˖⸮hg⸮⸮ϐ⸮5⸮⸮5E⸮⸮*x
This is a long sentence that is encrypted and then transmitted using the MQTT protocol for test.

Packet Sent:#44#Round Trip Time#412394#Encryption Time Sender#994#Encryption Time Sender#1033#48752#48752#48752#Message:#78.75#  1911#
Packet Sent:#45#Round Trip Time#416870#Encryption Time Sender#988#Encryption Time Sender#1060#48752#48752#48752#Message:#78.52#  1915#
Packet Sent:#46#Round Trip Time#408707#Encryption Time Sender#994#Encryption Time Sender#1061#48752#48752#48752#Message:#78.56#  1911#
Packet Sent:#47#Round Trip Time#412743#Encryption Time Sender#988#Encryption Time Sender#1036#48752#48640#48640#Message:#78.12#  1702#
Packet Sent:#48#Round Trip Time#411760#Encryption Time Sender#1073#Encryption Time Sender#1026#48640#48752#48752#Message:#78.29#  1914#
Packet Sent:#49#Round Trip Time#447608#Encryption Time Sender#990#Encryption Time Sender#1062#48752#48752#48752#Message:#78.55#  1910#
Packet Sent:#50#Round Trip Time#376314#Encryption Time Sender#993#Encryption Time Sender#1061#48752#48752#48752#Message:#78.82#  1908#
Packet Sent:#51#Round Trip Time#409249#Encryption Time Sender#986#Encryption Time Sender#1057#48752#48752#48752#Message:#78.12#  1911#
Packet Sent:#52#Round Trip Time#412565#Encryption Time Sender#994#Encryption Time Sender#1030#48752#48752#48752#Message:#78.22#  1910#
Packet Sent:#53#Round Trip Time#414895#Encryption Time Sender#986#Encryption Time Sender#1050#48752#48752#48752#Message:#78.68#  1910#
Packet Sent:#54#Round Trip Time#410375#Encryption Time Sender#995#Encryption Time Sender#1057#48752#48752#48752#Message:#78.25#  1911#
Packet Sent:#55#Round Trip Time#411231#Encryption Time Sender#987#Encryption Time Sender#1069#48752#48752#48752#Message:#78.71#  1911#
Packet Sent:#56#Round Trip Time#413601#Encryption Time Sender#993#Encryption Time Sender#1037#48752#48752#48752#Message:#78.43#  1910#
Packet Sent:#57#Round Trip Time#413634#Encryption Time Sender#987#Encryption Time Sender#1093#48752#48752#48752#Message:#78.60#  1910#
Packet Sent:#58#Round Trip Time#414297#Encryption Time Sender#994#Encryption Time Sender#1024#48752#48752#48752#Message:#79.22#  1910#
Packet Sent:#59#Round Trip Time#409406#Encryption Time Sender#985#Encryption Time Sender#1042#48752#48640#48640#Message:#77.78#  1910#
Packet Sent:#60#Round Trip Time#410102#Encryption Time Sender#1294#Encryption Time Sender#994#48752#48752#48752#Message:#77.90#  1914#
Packet Sent:#61#Round Trip Time#412326#Encryption Time Sender#995#Encryption Time Sender#1054#48752#48752#48752#Message:#78.42#  1911#
Packet Sent:#62#Round Trip Time#431363#Encryption Time Sender#995#Encryption Time Sender#1060#48752#48752#48752#Message:#78.27#  1912#
Packet Sent:#63#Round Trip Time#666449#Encryption Time Sender#985#Encryption Time Sender#1061#48752#48752#48752#Message:#77.89#  1910#
