⸮bJ⸮⸮⸮⸮⸮⸮⸮cg⸮EA⸮~⸮Ir{p⩆}⸮⸮yM⸮⸮9⸮3⸮|⸮`⸮7⸮⸮⸮⸮⸮⸮ŷ[ٹ⸮⸮`>w⸮⸮⸮K⸮⸮:⸮⸮cV⸮⸮X⸮Đ⸮`⸮⸮Z⸮⸮⸮⸮f⸮Oٳ
This is a long sentence that is encrypted and then transmitted using the MQTT protocol for test.

Packet Sent:#40#Round Trip Time#439965#Encryption Time Sender#982#Encryption Time Sender#1095#48704#48704#48704#Tag#True#Message:#109.2#  1736#
Packet Sent:#41#Round Trip Time#447457#Encryption Time Sender#1199#Encryption Time Sender#1076#48704#48704#48704#Tag#True#Message:#106.0#  1764#
Packet Sent:#42#Round Trip Time#442848#Encryption Time Sender#982#Encryption Time Sender#1099#48704#48704#48704#Tag#True#Message:#102.3#  1708#
Packet Sent:#43#Round Trip Time#442115#Encryption Time Sender#1194#Encryption Time Sender#1099#48704#48704#48704#Tag#True#Message:#101.9#  1689#
Packet Sent:#44#Round Trip Time#443895#Encryption Time Sender#989#Encryption Time Sender#1090#48704#48704#48704#Tag#True#Message:#102.5#  1780#
Packet Sent:#45#Round Trip Time#440869#Encryption Time Sender#1191#Encryption Time Sender#1074#48704#48704#48704#Tag#True#Message:#102.0#  1764#
Packet Sent:#46#Round Trip Time#436498#Encryption Time Sender#1000#Encryption Time Sender#1090#48704#48704#48704#Tag#True#Message:#102.3#  1758#
Packet Sent:#47#Round Trip Time#442714#Encryption Time Sender#1194#Encryption Time Sender#1090#48704#48592#48592#Tag#True#Message:#102.2#  1705#
Packet Sent:#48#Round Trip Time#439086#Encryption Time Sender#1064#Encryption Time Sender#1017#48704#48704#48704#Tag#True#Message:#102.3#  1740#
Packet Sent:#49#Round Trip Time#442781#Encryption Time Sender#1205#Encryption Time Sender#1083#48704#48704#48704#Tag#True#Message:#102.6#  1672#
Packet Sent:#50#Round Trip Time#449728#Encryption Time Sender#991#Encryption Time Sender#1064#48704#48704#48704#Tag#True#Message:#106.1#  1710#
Packet Sent:#51#Round Trip Time#442192#Encryption Time Sender#1311#Encryption Time Sender#1095#48592#48704#48704#Tag#True#Message:#102.2#  1708#
