;=%⸮^R#⸮5K⸮D⸮'⸮'Y⸮E⸮⸮ŦW⸮⸮⸮25qt~+d⸮c⸮rm⸮hj ⸮Ɯ⸮⸮⸮I⸮w-	⸮8⸮y⸮<⸮ ⸮ȉqowW⸮⸮x⸮S,⸮M(⸮2⸮⸮⸮⸮⸮⸮⸮ľ⸮`⸮}⸮J⸮m⸮嚜
This is a long sentence that is encrypted and then transmitted using the MQTT protocol for test.

Packet Sent:#1#Round Trip Time#415992#Encryption Time Sender#1399#Encryption Time Sender#851#49848#49848#49848#Tag#True#Message:#89.19#  1426#
Packet Sent:#2#Round Trip Time#359241#Encryption Time Sender#525#Encryption Time Sender#877#49848#49848#49848#Tag#True#Message:#79.69#  1175#
Packet Sent:#3#Round Trip Time#410599#Encryption Time Sender#516#Encryption Time Sender#807#49848#49848#49848#Tag#True#Message:#79.34#  1134#
Packet Sent:#4#Round Trip Time#444645#Encryption Time Sender#525#Encryption Time Sender#817#49848#49848#49848#Tag#True#Message:#100.1#  1126#
Packet Sent:#5#Round Trip Time#403215#Encryption Time Sender#520#Encryption Time Sender#818#49848#49848#49848#Tag#True#Message:#79.70#  1143#
Packet Sent:#6#Round Trip Time#420831#Encryption Time Sender#539#Encryption Time Sender#851#49848#49848#49848#Tag#True#Message:#87.21#  1184#
Packet Sent:#7#Round Trip Time#413107#Encryption Time Sender#519#Encryption Time Sender#825#49848#49848#49848#Tag#True#Message:#82.07#  1141#
Packet Sent:#8#Round Trip Time#467620#Encryption Time Sender#629#Encryption Time Sender#850#49848#49848#49848#Tag#True#Message:#87.66#  1113#
Packet Sent:#9#Round Trip Time#437342#Encryption Time Sender#638#Encryption Time Sender#818#49736#49848#49848#Tag#True#Message:#114.0#  1147#
Packet Sent:#10#Round Trip Time#424587#Encryption Time Sender#536#Encryption Time Sender#854#49848#49848#49848#Tag#True#Message:#98.76#  1189#
Packet Sent:#11#Round Trip Time#398586#Encryption Time Sender#516#Encryption Time Sender#794#49848#49344#49344#Tag#True#Message:#79.54#  1177#
Packet Sent:#12#Round Trip Time#452091#Encryption Time Sender#543#Encryption Time Sender#945#49344#49232#49232#Tag#True#Message:#79.63#  1178#
Packet Sent:#13#Round Trip Time#392106#Encryption Time Sender#569#Encryption Time Sender#889#49344#49344#49344#Tag#True#Message:#82.98#  1186#
Packet Sent:#14#Round Trip Time#665728#Encryption Time Sender#528#Encryption Time Sender#933#49344#49344#49344#Tag#True#Message:#79.66#  1189#
Packet Sent:#15#Round Trip Time#529887#Encryption Time Sender#514#Encryption Time Sender#913#49344#49344#49344#Tag#True#Message:#90.90#  1414#
Packet Sent:#16#Round Trip Time#390833#Encryption Time Sender#517#Encryption Time Sender#917#49344#49344#49344#Tag#True#Message:#88.53#  1228#
Packet Sent:#17#Round Trip Time#393225#Encryption Time Sender#518#Encryption Time Sender#889#49344#49344#49344#Tag#True#Message:#95.95#  1158#
Packet Sent:#18#Round Trip Time#496149#Encryption Time Sender#513#Encryption Time Sender#940#49344#49344#49344#Tag#True#Message:#79.93#  1197#
Packet Sent:#19#Round Trip Time#310406#Encryption Time Sender#524#Encryption Time Sender#854#49344#49344#49344#Tag#True#Message:#81.35#  1188#
Packet Sent:#20#Round Trip Time#438744#Encryption Time Sender#528#Encryption Time Sender#901#49344#49344#49344#Tag#True#Message:#83.00#  1142#
Packet Sent:#21#Round Trip Time#433038#Encryption Time Sender#517#Encryption Time Sender#841#49344#49344#49344#Tag#True#Message:#79.76#  1157#
Packet Sent:#22#Round Trip Time#403388#Encryption Time Sender#521#Encryption Time Sender#878#49344#49344#49344#Tag#True#Message:#107.9#  1414#
Packet Sent:#23#Round Trip Time#418342#Encryption Time Sender#522#Encryption Time Sender#886#49344#49344#49344#Tag#True#Message:#85.89#  1418#
Packet Sent:#24#Round Trip Time#410691#Encryption Time Sender#517#Encryption Time Sender#880#49344#49232#49232#Tag#True#Message:#79.83#  1413#
Packet Sent:#25#Round Trip Time#413908#Encryption Time Sender#513#Encryption Time Sender#858#49232#49344#49344#Tag#True#Message:#84.08#  1450#
Packet Sent:#26#Round Trip Time#423974#Encryption Time Sender#514#Encryption Time Sender#888#49344#49344#49344#Tag#True#Message:#79.36#  1250#
Packet Sent:#27#Round Trip Time#391040#Encryption Time Sender#521#Encryption Time Sender#868#49344#49344#49344#Tag#True#Message:#79.26#  1170#
Packet Sent:#28#Round Trip Time#412872#Encryption Time Sender#510#Encryption Time Sender#886#49344#49344#49344#Tag#True#Message:#82.19#  1414#
Packet Sent:#29#Round Trip Time#410343#Encryption Time Sender#524#Encryption Time Sender#829#49344#49344#49344#Tag#True#Message:#80.72#  1413#
Packet Sent:#30#Round Trip Time#411502#Encryption Time Sender#515#Encryption Time Sender#889#49344#49344#49344#Tag#True#Message:#79.50#  1414#
Packet Sent:#31#Round Trip Time#443281#Encryption Time Sender#526#Encryption Time Sender#845#49344#49344#49344#Tag#True#Message:#90.21#  1416#
Packet Sent:#32#Round Trip Time#401235#Encryption Time Sender#508#Encryption Time Sender#905#49344#49344#49344#Tag#True#Message:#89.04#  1412#
Packet Sent:#33#Round Trip Time#418580#Encryption Time Sender#521#Encryption Time Sender#850#49344#49344#49344#Tag#True#Message:#86.46#  1414#
Packet Sent:#34#Round Trip Time#421556#Encryption Time Sender#510#Encryption Time Sender#888#49344#49344#49344#Tag#True#Message:#88.14#  1414#
Packet Sent:#35#Round Trip Time#435778#Encryption Time Sender#533#Encryption Time Sender#905#49344#49232#49232#Tag#True#Message:#79.12#  1414#
